GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HC04_MOE_VC12,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",423
HC05_EST_VC12,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",117882
HC05_MOE_VC12,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",994
HC06_EST_VC12,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",60593
HC06_MOE_VC12,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations",427
HC01_EST_VC13,"Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",5033274
HC01_MOE_VC13,"Total; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",33783
HC02_EST_VC13,"Male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",29.4
HC02_MOE_VC13,"Male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",0.1
HC03_EST_VC13,"Female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",70.6
HC03_MOE_VC13,"Female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",0.1
HC04_EST_VC13,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",48845
HC04_MOE_VC13,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",86
HC05_EST_VC13,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",56483
HC05_MOE_VC13,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",175
HC06_EST_VC13,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",45836
HC06_MOE_VC13,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations",99
HC01_EST_VC14,"Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",1594532
HC01_MOE_VC14,"Total; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",9513
HC02_EST_VC14,"Male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",57.8
HC02_MOE_VC14,"Male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",0.3
HC03_EST_VC14,"Female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",42.2
HC03_MOE_VC14,"Female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",0.3
HC04_EST_VC14,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",51233
HC04_MOE_VC14,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",152
HC05_EST_VC14,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",54320
HC05_MOE_VC14,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",227
HC06_EST_VC14,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",46670
HC06_MOE_VC14,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations",286
HC01_EST_VC15,"Total; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",5626149
HC01_MOE_VC15,"Total; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",21812
HC02_EST_VC15,"Male; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",28.7
HC02_MOE_VC15,"Male; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",0.1
HC03_EST_VC15,"Female; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",71.3
HC03_MOE_VC15,"Female; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",0.1
HC04_EST_VC15,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",61489
HC04_MOE_VC15,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",128
HC05_EST_VC15,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",81983
HC05_MOE_VC15,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",403
HC06_EST_VC15,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",56854
HC06_MOE_VC15,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:",151
HC01_EST_VC16,"Total; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",3911338
HC01_MOE_VC16,"Total; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",18825
HC02_EST_VC16,"Male; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",30.4
HC02_MOE_VC16,"Male; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",0.2
HC03_EST_VC16,"Female; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",69.6
HC03_MOE_VC16,"Female; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",0.2
HC04_EST_VC16,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",72051
HC04_MOE_VC16,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",141
HC05_EST_VC16,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",107453
HC05_MOE_VC16,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",567
HC06_EST_VC16,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",65710
HC06_MOE_VC16,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations",137
HC01_EST_VC17,"Total; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",1714811
HC01_MOE_VC17,"Total; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",9611
HC02_EST_VC17,"Male; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",24.7
HC02_MOE_VC17,"Male; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",0.3
HC03_EST_VC17,"Female; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",75.3
HC03_MOE_VC17,"Female; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",0.3
HC04_EST_VC17,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",41088
HC04_MOE_VC17,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",108
HC05_EST_VC17,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",46816
HC05_MOE_VC17,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",322
HC06_EST_VC17,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",39649
HC06_MOE_VC17,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",128
HC01_EST_VC18,Total; Estimate; Service occupations:,13507375
HC01_MOE_VC18,Total; Margin of Error; Service occupations:,59925
HC02_EST_VC18,Male; Estimate; Service occupations:,50.5
HC02_MOE_VC18,Male; Margin of Error; Service occupations:,0.1
HC03_EST_VC18,Female; Estimate; Service occupations:,49.5
HC03_MOE_VC18,Female; Margin of Error; Service occupations:,0.1
