GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD02_VD121,Margin of Error; Total: - Probation officers and correctional treatment specialists
HD01_VD122,Estimate; Total: - Social and human service assistants
HD02_VD122,Margin of Error; Total: - Social and human service assistants
HD01_VD123,"Estimate; Total: - Miscellaneous community and social service specialists, including health educators and community health workers"
HD02_VD123,"Margin of Error; Total: - Miscellaneous community and social service specialists, including health educators and community health workers"
HD01_VD124,Estimate; Total: - Clergy
HD02_VD124,Margin of Error; Total: - Clergy
HD01_VD125,"Estimate; Total: - Directors, religious activities and education"
HD02_VD125,"Margin of Error; Total: - Directors, religious activities and education"
HD01_VD126,"Estimate; Total: - Religious workers, all other"
HD02_VD126,"Margin of Error; Total: - Religious workers, all other"
HD01_VD127,Estimate; Total: - Lawyers
HD02_VD127,Margin of Error; Total: - Lawyers
HD01_VD128,Estimate; Total: - Judicial law clerks
HD02_VD128,Margin of Error; Total: - Judicial law clerks
HD01_VD129,"Estimate; Total: - Judges, magistrates, and other judicial workers"
HD02_VD129,"Margin of Error; Total: - Judges, magistrates, and other judicial workers"
HD01_VD130,Estimate; Total: - Paralegals and legal assistants
HD02_VD130,Margin of Error; Total: - Paralegals and legal assistants
HD01_VD131,Estimate; Total: - Miscellaneous legal support workers
HD02_VD131,Margin of Error; Total: - Miscellaneous legal support workers
HD01_VD132,Estimate; Total: - Postsecondary teachers
HD02_VD132,Margin of Error; Total: - Postsecondary teachers
HD01_VD133,Estimate; Total: - Preschool and kindergarten teachers
HD02_VD133,Margin of Error; Total: - Preschool and kindergarten teachers
HD01_VD134,Estimate; Total: - Elementary and middle school teachers
HD02_VD134,Margin of Error; Total: - Elementary and middle school teachers
HD01_VD135,Estimate; Total: - Secondary school teachers
HD02_VD135,Margin of Error; Total: - Secondary school teachers
HD01_VD136,Estimate; Total: - Special education teachers
HD02_VD136,Margin of Error; Total: - Special education teachers
HD01_VD137,Estimate; Total: - Other teachers and instructors
HD02_VD137,Margin of Error; Total: - Other teachers and instructors
HD01_VD138,"Estimate; Total: - Archivists, curators, and museum technicians"
HD02_VD138,"Margin of Error; Total: - Archivists, curators, and museum technicians"
HD01_VD139,Estimate; Total: - Librarians
HD02_VD139,Margin of Error; Total: - Librarians
HD01_VD140,Estimate; Total: - Library technicians
HD02_VD140,Margin of Error; Total: - Library technicians
HD01_VD141,Estimate; Total: - Teacher assistants
HD02_VD141,Margin of Error; Total: - Teacher assistants
HD01_VD142,"Estimate; Total: - Other education, training, and library workers, except teacher assistants"
HD02_VD142,"Margin of Error; Total: - Other education, training, and library workers, except teacher assistants"
HD01_VD143,Estimate; Total: - Artists and related workers
HD02_VD143,Margin of Error; Total: - Artists and related workers
HD01_VD144,Estimate; Total: - Designers
HD02_VD144,Margin of Error; Total: - Designers
HD01_VD145,Estimate; Total: - Actors
HD02_VD145,Margin of Error; Total: - Actors
HD01_VD146,Estimate; Total: - Producers and directors
HD02_VD146,Margin of Error; Total: - Producers and directors
HD01_VD147,"Estimate; Total: - Athletes, coaches, umpires, and related workers"
HD02_VD147,"Margin of Error; Total: - Athletes, coaches, umpires, and related workers"
HD01_VD148,Estimate; Total: - Dancers and choreographers
HD02_VD148,Margin of Error; Total: - Dancers and choreographers
HD01_VD149,"Estimate; Total: - Musicians, singers, and related workers"
HD02_VD149,"Margin of Error; Total: - Musicians, singers, and related workers"
HD01_VD150,"Estimate; Total: - Entertainers and performers, sports and related workers, all other"
HD02_VD150,"Margin of Error; Total: - Entertainers and performers, sports and related workers, all other"
HD01_VD151,Estimate; Total: - Announcers
HD02_VD151,Margin of Error; Total: - Announcers
HD01_VD152,"Estimate; Total: - News analysts, reporters and correspondents"
HD02_VD152,"Margin of Error; Total: - News analysts, reporters and correspondents"
HD01_VD153,Estimate; Total: - Public relations specialists
HD02_VD153,Margin of Error; Total: - Public relations specialists
HD01_VD154,Estimate; Total: - Editors
HD02_VD154,Margin of Error; Total: - Editors
HD01_VD155,Estimate; Total: - Technical writers
HD02_VD155,Margin of Error; Total: - Technical writers
HD01_VD156,Estimate; Total: - Writers and authors
HD02_VD156,Margin of Error; Total: - Writers and authors
HD01_VD157,Estimate; Total: - Miscellaneous media and communication workers
HD02_VD157,Margin of Error; Total: - Miscellaneous media and communication workers
HD01_VD158,"Estimate; Total: - Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators"
HD02_VD158,"Margin of Error; Total: - Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators"
HD01_VD159,Estimate; Total: - Photographers
HD02_VD159,Margin of Error; Total: - Photographers
HD01_VD160,"Estimate; Total: - Television, video, and motion picture camera operators and editors"
HD02_VD160,"Margin of Error; Total: - Television, video, and motion picture camera operators and editors"
HD01_VD161,Estimate; Total: - Chiropractors
HD02_VD161,Margin of Error; Total: - Chiropractors
HD01_VD162,Estimate; Total: - Dentists
HD02_VD162,Margin of Error; Total: - Dentists
HD01_VD163,Estimate; Total: - Dietitians and nutritionists
HD02_VD163,Margin of Error; Total: - Dietitians and nutritionists
HD01_VD164,Estimate; Total: - Optometrists
HD02_VD164,Margin of Error; Total: - Optometrists
HD01_VD165,Estimate; Total: - Pharmacists
HD02_VD165,Margin of Error; Total: - Pharmacists
HD01_VD166,Estimate; Total: - Physicians and surgeons
HD02_VD166,Margin of Error; Total: - Physicians and surgeons
HD01_VD167,Estimate; Total: - Physician assistants
HD02_VD167,Margin of Error; Total: - Physician assistants
HD01_VD168,Estimate; Total: - Podiatrists
HD02_VD168,Margin of Error; Total: - Podiatrists
HD01_VD169,Estimate; Total: - Audiologists
HD02_VD169,Margin of Error; Total: - Audiologists
HD01_VD170,Estimate; Total: - Occupational therapists
HD02_VD170,Margin of Error; Total: - Occupational therapists
HD01_VD171,Estimate; Total: - Physical therapists
HD02_VD171,Margin of Error; Total: - Physical therapists
HD01_VD172,Estimate; Total: - Radiation therapists
HD02_VD172,Margin of Error; Total: - Radiation therapists
HD01_VD173,Estimate; Total: - Recreational therapists
HD02_VD173,Margin of Error; Total: - Recreational therapists
HD01_VD174,Estimate; Total: - Respiratory therapists
HD02_VD174,Margin of Error; Total: - Respiratory therapists
HD01_VD175,Estimate; Total: - Speech-language pathologists
HD02_VD175,Margin of Error; Total: - Speech-language pathologists
HD01_VD176,"Estimate; Total: - Miscellaneous therapists, including exercise physiologists"
HD02_VD176,"Margin of Error; Total: - Miscellaneous therapists, including exercise physiologists"
HD01_VD177,Estimate; Total: - Veterinarians
HD02_VD177,Margin of Error; Total: - Veterinarians
HD01_VD178,Estimate; Total: - Registered nurses
HD02_VD178,Margin of Error; Total: - Registered nurses
HD01_VD179,Estimate; Total: - Nurse anesthetists
HD02_VD179,Margin of Error; Total: - Nurse anesthetists
HD01_VD180,Estimate; Total: - Nurse midwives
HD02_VD180,Margin of Error; Total: - Nurse midwives
HD01_VD181,Estimate; Total: - Nurse practitioners
HD02_VD181,Margin of Error; Total: - Nurse practitioners
HD01_VD182,"Estimate; Total: - Health diagnosing and treating practitioners, all other"
HD02_VD182,"Margin of Error; Total: - Health diagnosing and treating practitioners, all other"
HD01_VD183,Estimate; Total: - Clinical laboratory technologists and technicians
HD02_VD183,Margin of Error; Total: - Clinical laboratory technologists and technicians
HD01_VD184,Estimate; Total: - Dental hygienists
HD02_VD184,Margin of Error; Total: - Dental hygienists
HD01_VD185,Estimate; Total: - Diagnostic related technologists and technicians
HD02_VD185,Margin of Error; Total: - Diagnostic related technologists and technicians
HD01_VD186,Estimate; Total: - Emergency medical technicians and paramedics
HD02_VD186,Margin of Error; Total: - Emergency medical technicians and paramedics
HD01_VD187,Estimate; Total: - Health practitioner support technologists and technicians
HD02_VD187,Margin of Error; Total: - Health practitioner support technologists and technicians
HD01_VD188,Estimate; Total: - Licensed practical and licensed vocational nurses
